Data Series,2026 May ,2026 Apr ,2026 Mar ,2026 Feb ,2026 Jan ,2025 Dec ,2025 Nov ,2025 Oct ,2025 Sep ,2025 Aug ,2025 Jul ,2025 Jun ,2025 May 
      Motor Cars,8.2,7.5,6.4,5.9,5.3,7.1,6.9,8.3,7.3,4.6,4.2,2.6,2.3
      Motorcycles,4.7,0.3,-0.9,-1.4,3,1.3,0,0,-2.6,-1.7,3.5,0,-2.7
      Bicycles,-1.7,-7.7,-6.7,-4.2,-4,-3.6,-2.8,-2.9,1.5,-4,3.2,-2.8,0.6
      Parts & Accessories For Personal Transport Equipment,0.7,0,0.9,0.4,0.8,1.7,2.4,2.6,2.1,2,2.4,2.3,2.6
      Petrol,20.1,19.4,15.9,-4.1,-2.1,-1.2,-2.1,-3.8,-1.5,-1,-1.8,-0.3,-3.6
      Other Fuel & Lubricants For Personal Transport Equipment,54.5,56.1,22.2,-1.5,-0.3,1.6,1,-0.7,0.2,-0.3,-1.5,-0.9,-2.6
      Maintenance & Repair Of Personal Transport Equipment,2.5,2.5,2.7,3.2,1.9,2.3,2.3,2.2,2.1,2.1,2.1,6.8,8.1
      Other Services In Respect Of Personal Transport Equipment,1.2,1.3,1.2,0.3,1.1,0.5,0.8,0.7,0.7,0.8,0.4,0.8,0.7
      Insurance Connected With Transport,0.7,0.7,-0.6,0.5,0.9,1.1,5,0.7,3.4,3.4,3.4,7,4.4
    Land Transport Services,6.1,6.8,5.7,3.4,4.2,5.6,5.7,3.8,5.3,5.5,4.8,5.1,5.7
      Bus & Train Fares,5,5,5,5,5,6,6,6,6,6,6,6,6
      Point-To-Point Transport Services,7.9,9.6,7,1.1,3.9,5.2,5.7,1,5.1,5.6,3.7,4.6,6
      Commuting Fares,-2,-2,-2,-2,-2,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1
      Other Land Transport Services,15.1,11.2,9.2,15.5,-0.3,6.2,1.3,2.9,-3,-4,-3.7,-4.3,-2.5
    Other Transport Services,1.5,0.3,2.1,4.2,-3.1,-0.4,-3.9,0.1,-2.9,-4.5,-3.5,-3.5,-1.9
      Airfares,1.4,0.2,2,4.2,-3.2,-0.5,-4,0.1,-2.9,-4.6,-3.6,-3.5,-1.9
      Seafares,15,15.1,11.4,0.7,0.7,0.4,-0.1,0,-0.1,-0.1,-0.3,-0.9,-0.8
      Travel Insurance,-3.1,2.4,0.3,10.6,6.9,10.7,6.4,0.5,-3.9,-6.1,-0.2,1.4,-9.9
    Transport Services Of Goods,-1.7,-1.1,2.7,-2.4,0.6,0.1,0.3,-0.2,0.8,0.9,-0.6,-6.5,2.7
  Information & Communication,-2.9,-0.9,0.5,-1.4,-1.9,-2,-2,-2.5,-2.4,-2.1,-2.6,-2.4,-1.9
    Information & Communication Equipment,1.7,0.7,0.6,-1.9,-2.8,-2.8,-2.8,-2.8,-2.7,-2.6,-4.3,-3.5,-4.4
      Mobile Telephone Equipment,9.2,5.8,4.9,-2.2,-6.2,-7.7,-6.7,-6.5,-6.4,-7.1,-12.6,-13.6,-14.8
      Information Processing Equipment,-1.8,-1.4,-0.9,-0.9,-0.9,-0.7,-1,-1,-1,-0.2,-0.2,0.7,1.3
"      Equipment For The Reception, Recording & Reproduction Of Sound & Vision",-0.3,-0.6,-0.1,-1.2,-0.8,-0.3,0.2,0.2,0.4,0.7,0.6,5,3.1
      Unrecorded Recording Media,0,0,0,0,0,0,0,0,0,0,0,0,0
      Information & Communication Equipment & Accessories Nec,-4.1,-5.1,-6,-6.7,-2.7,0.8,-2.5,-3.4,-3.6,-3.1,-1.7,-2.9,-4.9
    Software Excl Games,0,0,0,0,0,0,0,0,0,0,0,0,0
    Information & Communication Services,-4.4,-1.4,0.4,-1.3,-1.7,-1.8,-1.8,-2.4,-2.3,-2,-2.1,-2,-1.2
      Fixed Communication Services,0,0,0,0,0,0,0,0,0,0,0,0,0
      Mobile Communication Services,0,0.6,0.4,0.2,0,0.1,0.2,-0.9,-0.8,-0.7,-0.8,-0.4,0.3
"      Internet, Bundled & Other Telecommunication Services",-8.7,-4,0.2,-3,-3.6,-3.8,-3.8,-4.1,-4,-3.5,-3.3,-3.8,-2.7
      Information & Communication Services Nec,1.9,9.3,4.6,4.6,4.6,3.3,3.3,3.3,3.3,2,-1.3,2.9,2.9
"  Recreation, Sport & Culture",1.3,0.9,1.7,1.9,0.6,0.3,0.5,1.1,-2.2,-3,-1.2,-2.6,-2
    Recreation & Cultural Goods,0.2,0.2,-0.6,-1,-0.8,-0.5,0.3,-1.1,-1.7,-0.8,-0.7,-2,-2
    Other Recreational Goods,1.5,2.9,3.2,3.1,1.8,1.2,1.7,1.7,0.7,-1.1,-0.9,-2.1,-0.6
"      Games, Toys & Hobbies",1.7,3.4,4.4,4.1,2,1.7,1.4,1.2,0.4,-1.7,-2.6,-3.2,-1.7
"      Equipment For Sport, Camping & Open-Air Recreation",1.3,1.5,0.3,0.8,1.3,-0.1,2.5,3.1,1.6,0.3,4,0.8,2.4
    Garden Products & Pets,0.7,0.8,0.3,0.5,0.9,0.8,0.8,0.6,1.2,0.6,1.3,0.2,0.2
"      Garden Products, Plants & Flowers",1.3,1.6,0.1,0.3,0.2,0.9,0.7,0.7,1.3,0.9,1.6,1.7,1.2
      Pets & Products For Pets,0.4,0.4,0.4,0.6,1.1,0.8,0.8,0.5,1.1,0.5,1.1,-0.4,-0.3
    Recreational Services,3,2.3,3.2,2.4,2.4,1.3,1.4,1.4,-0.1,0,-0.2,-0.3,0.4
      Other Recreational Services,-1,0,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,13.6,13.6
